config_id,config_name,mir_disabled_count,llvm_disabled_count,mir_disabled_list,llvm_disabled_list
303,RANDOM_CONFIG_0303,4,26,EnumSizeOpt;ImpossiblePredicates;Inline;UnreachablePropagation,2addr-hack;auto-upgrade-debug-info;bitcode-version-upgrade;cgp;cgp-branch-opts;cgp-ext-ld-promotion;cgp-store-extract;chr;constant-hoisting;demotion;early-taildup;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple;interleaved-load-combine;last-run-tracking;licm-promotion;memop-opt;ondemand-mds-loading;phi-elim-edge-splitting;promote-alloca-to-vector;select-optimize;ssc;strictnode-mutation;vector-combine;vp
304,RANDOM_CONFIG_0304,7,24,CopyProp;EnumSizeOpt;ForceInline;Inline;InstSimplify-after-simplifycfg;JumpThreading;UnreachablePropagation,adv-copy-opt;advanced-peeling;binop-extract-shuffle;cfi-fixup;cgp;cgp-gc-opts;chr;complex-addr-modes;dfa-sched;icp;ifcvt-simple-false;ifcvt-triangle;last-run-tracking;machine-cse;machine-licm;mergeicmps;mr-partial-inlining;postra-machine-sink;promote-alloca-to-vector;replace-with-vec-lib;separate-const-offset-from-gep;ssc;strictnode-mutation;tail-calls
305,RANDOM_CONFIG_0305,4,28,GVN;Inline;ScalarReplacementOfAggregates;UnreachableEnumBranching,block-placement;branch-fold;cfi-fixup;cgp-branch-opts;cgp-gc-opts;cgp-store-extract;chr;cleanups;copyprop;early-taildup;gep-const-evaluation;last-run-tracking;layout-fsprofile-loader;loop-level-heuristics;lsr;machine-cse;nounwind-inference;partial-inlining;peephole;phi-elim-edge-splitting;postra-machine-licm;promote-alloca-to-vector;replace-with-vec-lib;select-optimize;separate-const-offset-from-gep;strictnode-mutation;tail-duplicate;thinlto-funcattrs
306,RANDOM_CONFIG_0306,6,27,DeadStoreElimination-initial;DestinationPropagation;EarlyOtherwiseBranch;GVN;InstSimplify-before-inline;MatchBranchSimplification,2addr-hack;auto-upgrade-debug-info;block-placement;cgdata-for-merging;cgp-ext-ld-promotion;complex-addr-modes;copyprop;demotion;expand-reductions;gep-const-evaluation;global-outlining;i2p-p2i-opt;ifcvt-simple;ifcvt-simple-false;last-run-tracking;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;machine-sink;mr-partial-inlining;nounwind-inference;ondemand-mds-loading;peephole;post-ra;replace-with-vec-lib;ssc;type-promotion;vector-combine
307,RANDOM_CONFIG_0307,6,18,DataflowConstProp;DestinationPropagation;GVN;Inline;MatchBranchSimplification;UnreachablePropagation,2addr-hack;adv-copy-opt;cgp-gc-opts;copyprop;machine-dce;machine-licm;non-allocatable-phys-copy-opt;nounwind-inference;ondemand-mds-loading;postra-machine-sink;preheader-prot;preinline;replace-with-vec-lib;select-optimize;separate-const-offset-from-gep;tail-duplicate;vp;whole-program-visibility
308,RANDOM_CONFIG_0308,5,20,DataflowConstProp;EnumSizeOpt;GVN;JumpThreading;MatchBranchSimplification,2addr-hack;binop-extract-shuffle;cgp;cgp-branch-opts;cgp-store-extract;ifcvt-forked-diamond;ifcvt-triangle-rev;lsr;machine-licm;mr-partial-inlining;non-allocatable-phys-copy-opt;nounwind-inference;phi-elim-edge-splitting;post-ra;postra-machine-licm;preheader-prot;promote-alloca-to-vector;replace-with-vec-lib;sample-loader-inlining;vector-combine
309,RANDOM_CONFIG_0309,7,22,CopyProp;EarlyOtherwiseBranch;ImpossiblePredicates;Inline;SingleUseConsts;UnreachableEnumBranching;UnreachablePropagation,auto-upgrade-debug-info;branch-fold;cfi-fixup;chr;expand-reductions;global-outlining;ifcvt-diamond;ifcvt-forked-diamond;ifcvt-simple-false;interleaved-load-combine;lftr;machine-sink;memop-opt;mergeicmps;nounwind-inference;partial-inlining;postra-machine-licm;preheader-prot;preinline;replace-with-vec-lib;sample-loader-inlining;tail-duplicate
310,RANDOM_CONFIG_0310,8,23,CopyProp;DataflowConstProp;DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt;GVN;InstSimplify-after-simplifycfg;UnreachablePropagation,bitcode-version-upgrade;block-placement;cfi-fixup;cgp-branch-opts;cgp-delete-phis;cgp-store-extract;constant-hoisting;copyprop;global-outlining;ifcvt-diamond;ifcvt-simple;ifcvt-triangle;ifcvt-triangle-false;interleaved-load-combine;last-run-tracking;licm-promotion;loop-idiom-vectorize-bytecmp;machine-dce;memop-opt;preheader-prot;sample-loader-inlining;strictnode-mutation;tail-calls
311,RANDOM_CONFIG_0311,5,30,DeadStoreElimination-final;ImpossiblePredicates;InstSimplify-before-inline;MatchBranchSimplification;SingleUseConsts,auto-upgrade-debug-info;binop-extract-shuffle;cgdata-for-merging;cgp-branch-opts;cleanups;i2p-p2i-opt;ifcvt-diamond;ifcvt-simple;ifcvt-simple-false;last-run-tracking;lsr;memop-opt;non-allocatable-phys-copy-opt;partial-libcall-inlining;peephole;phi-elim-edge-splitting;postra-machine-licm;postra-machine-sink;preinline;promote-alloca-to-vector;sample-loader-inlining;select-optimize;separate-const-offset-from-gep;spill-fusing;ssc;tail-duplicate;thinlto-funcattrs;vector-combine;vp;whole-program-visibility
312,RANDOM_CONFIG_0312,8,23,DataflowConstProp;EarlyOtherwiseBranch;ForceInline;GVN;Inline;ScalarReplacementOfAggregates;UnreachableEnumBranching;UnreachablePropagation,binop-extract-shuffle;cfi-fixup;cgp-ext-ld-promotion;cgp-select2branch;cleanups;complex-addr-modes;dfa-sched;gep-const-evaluation;global-outlining;ifcvt-diamond;lftr;licm-promotion;loop-idiom-vectorize-all;lsr;machine-dce;machine-licm;machine-sink;partial-inlining;preinline;promote-alloca-to-vector;sample-loader-inlining;tail-duplicate;vector-combine
313,RANDOM_CONFIG_0313,8,28,DeadStoreElimination-initial;EarlyOtherwiseBranch;ForceInline;ImpossiblePredicates;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates;UnreachablePropagation,adv-copy-opt;block-placement;cfi-fixup;cgp;cgp-delete-phis;demotion;dfa-sched;early-taildup;expand-reductions;gep-const-evaluation;ifcvt-diamond;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle-false;interleaved-load-combine;layout-fsprofile-loader;licm-promotion;loop-level-heuristics;machine-cse;memop-opt;post-ra;postra-machine-sink;preheader-prot;sample-loader-inlining;select-optimize;tail-duplicate;type-promotion;whole-program-visibility
314,RANDOM_CONFIG_0314,7,23,DataflowConstProp;DestinationPropagation;ForceInline;InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates;UnreachableEnumBranching;UnreachablePropagation,block-placement;cgp-ext-ld-promotion;copyprop;gep-const-evaluation;global-outlining;ifcvt-simple;ifcvt-triangle-false;ifcvt-triangle-rev;last-run-tracking;licm-promotion;loop-idiom-vectorize-all;loop-level-heuristics;lsr;machine-licm;non-allocatable-phys-copy-opt;nounwind-inference;partial-inlining;peephole;phi-elim-edge-splitting;replace-with-vec-lib;sample-loader-inlining;separate-const-offset-from-gep;vector-combine
315,RANDOM_CONFIG_0315,10,28,CopyProp;DeadStoreElimination-final;DeadStoreElimination-initial;EnumSizeOpt;GVN;ImpossiblePredicates;JumpThreading;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates,2addr-hack;adv-copy-opt;advanced-peeling;binop-extract-shuffle;block-placement;cgp-branch-opts;cgp-delete-phis;cgp-ext-ld-promotion;complex-addr-modes;constant-hoisting;demotion;icp;ifcvt-triangle;interleaved-load-combine;licm-promotion;loop-level-heuristics;lsr;machine-cse;machine-dce;mergeicmps;partial-inlining;postra-machine-licm;replace-with-vec-lib;tail-calls;tail-duplicate;thinlto-funcattrs;vector-combine;whole-program-visibility
316,RANDOM_CONFIG_0316,5,20,DataflowConstProp;DeadStoreElimination-final;EnumSizeOpt;Inline;ScalarReplacementOfAggregates,auto-upgrade-debug-info;block-placement;cgdata-for-merging;cgp-delete-phis;complex-addr-modes;constant-hoisting;ifcvt-forked-diamond;ifcvt-simple;ifcvt-triangle-false;ifcvt-triangle-rev;loop-level-heuristics;machine-sink;nounwind-inference;promote-alloca-to-vector;ra-fsprofile-loader;spill-fusing;ssc;strictnode-mutation;tail-calls;vp
317,RANDOM_CONFIG_0317,9,25,DeadStoreElimination-initial;EnumSizeOpt;ImpossiblePredicates;Inline;JumpThreading;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching;UnreachablePropagation,2addr-hack;advanced-peeling;binop-extract-shuffle;cleanups;dfa-sched;early-taildup;gep-const-evaluation;ifcvt-diamond;ifcvt-triangle;interleaved-load-combine;lftr;loop-idiom-vectorize-all;machine-dce;machine-licm;mergeicmps;mr-partial-inlining;nofree-inference;partial-libcall-inlining;phi-elim-edge-splitting;post-ra;preinline;promote-alloca-to-vector;select-optimize;strictnode-mutation;vp
318,RANDOM_CONFIG_0318,6,20,DeadStoreElimination-final;ForceInline;InstSimplify-before-inline;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates,2addr-hack;cgdata-for-merging;cgp-branch-opts;cgp-select2branch;cleanups;demotion;dfa-sched;ifcvt-simple;ifcvt-triangle-false;ifcvt-triangle-rev;interleaved-load-combine;lftr;loop-idiom-vectorize-bytecmp;machine-sink;mr-partial-inlining;nofree-inference;post-ra;ra-fsprofile-loader;spill-fusing;vector-combine
319,RANDOM_CONFIG_0319,9,22,DeadStoreElimination-final;DestinationPropagation;EnumSizeOpt;GVN;Inline;ReferencePropagation;SingleUseConsts;UnreachableEnumBranching;UnreachablePropagation,2addr-hack;adv-copy-opt;auto-upgrade-debug-info;cgp-gc-opts;cgp-store-extract;chr;copyprop;early-ifcvt;expand-reductions;gep-const-evaluation;icp;ifcvt-simple;interleaved-load-combine;lftr;licm-promotion;loop-idiom-vectorize-all;memop-opt;partial-libcall-inlining;phi-elim-edge-splitting;spill-fusing;vector-combine;whole-program-visibility
320,RANDOM_CONFIG_0320,3,28,EnumSizeOpt;Inline;JumpThreading,auto-upgrade-debug-info;cgdata-for-merging;cgp-branch-opts;complex-addr-modes;copyprop;expand-reductions;ifcvt-forked-diamond;last-run-tracking;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-cse;machine-dce;machine-licm;machine-sink;mr-partial-inlining;ondemand-mds-loading;peephole;phi-elim-edge-splitting;preinline;promote-alloca-to-vector;ra-fsprofile-loader;replace-with-vec-lib;sample-loader-inlining;spill-fusing;ssc;tail-calls;vp
321,RANDOM_CONFIG_0321,10,23,CopyProp;DeadStoreElimination-final;DestinationPropagation;EnumSizeOpt;Inline;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates;SingleUseConsts;UnreachablePropagation,auto-upgrade-debug-info;cgp;cgp-delete-phis;early-taildup;ifcvt-triangle;ifcvt-triangle-rev;interleaved-load-combine;lftr;licm-promotion;machine-licm;memop-opt;mergeicmps;ondemand-mds-loading;phi-elim-edge-splitting;post-ra;postra-machine-sink;ra-fsprofile-loader;sample-loader-inlining;strictnode-mutation;tail-calls;thinlto-funcattrs;vp;whole-program-visibility
322,RANDOM_CONFIG_0322,5,23,EnumSizeOpt;ForceInline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification,bitcode-version-upgrade;block-placement;cfi-fixup;cgp-delete-phis;global-outlining;ifcvt-forked-diamond;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle;layout-fsprofile-loader;loop-idiom-vectorize-all;lsr;machine-dce;memop-opt;mergeicmps;mr-partial-inlining;non-allocatable-phys-copy-opt;partial-inlining;peephole;separate-const-offset-from-gep;thinlto-funcattrs;type-promotion;vp
323,RANDOM_CONFIG_0323,8,21,CopyProp;DeadStoreElimination-final;EnumSizeOpt;GVN;Inline;InstSimplify-before-inline;ReferencePropagation;SingleUseConsts,advanced-peeling;block-placement;cgp;cgp-gc-opts;cgp-select2branch;chr;cleanups;ifcvt-diamond;ifcvt-forked-diamond;loop-idiom-vectorize-all;loop-level-heuristics;machine-cse;memop-opt;mr-partial-inlining;post-ra;postra-machine-sink;ra-fsprofile-loader;replace-with-vec-lib;spill-fusing;tail-duplicate;vector-combine
324,RANDOM_CONFIG_0324,4,17,GVN;InstSimplify-before-inline;MatchBranchSimplification;UnreachablePropagation,cgdata-for-merging;cgp-branch-opts;cgp-ext-ld-promotion;chr;copyprop;early-ifcvt;ifcvt-diamond;last-run-tracking;licm-promotion;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-dce;machine-sink;nofree-inference;preheader-prot;select-optimize;type-promotion
325,RANDOM_CONFIG_0325,4,15,DeadStoreElimination-final;EnumSizeOpt;InstSimplify-before-inline;ScalarReplacementOfAggregates,advanced-peeling;auto-upgrade-debug-info;bitcode-version-upgrade;cfi-fixup;cgp-branch-opts;cgp-select2branch;copyprop;lsr;machine-dce;machine-licm;mr-partial-inlining;nofree-inference;preinline;ssc;type-promotion
326,RANDOM_CONFIG_0326,5,20,DataflowConstProp;ForceInline;Inline;JumpThreading;ReferencePropagation,bitcode-version-upgrade;cgdata-for-merging;cgp-ext-ld-promotion;cgp-select2branch;copyprop;demotion;early-taildup;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple;layout-fsprofile-loader;licm-promotion;lsr;machine-dce;mr-partial-inlining;nofree-inference;partial-libcall-inlining;peephole;preinline;whole-program-visibility
327,RANDOM_CONFIG_0327,6,37,DataflowConstProp;DeadStoreElimination-final;DeadStoreElimination-initial;InstSimplify-before-inline;JumpThreading;UnreachableEnumBranching,2addr-hack;auto-upgrade-debug-info;bitcode-version-upgrade;block-placement;cgdata-for-merging;cgp-ext-ld-promotion;cgp-store-extract;cleanups;copyprop;icp;ifcvt-simple-false;ifcvt-triangle-rev;interleaved-load-combine;last-run-tracking;lftr;loop-idiom-vectorize-all;lsr;machine-cse;machine-dce;machine-licm;memop-opt;mergeicmps;mr-partial-inlining;nofree-inference;partial-inlining;preinline;ra-fsprofile-loader;replace-with-vec-lib;sample-loader-inlining;select-optimize;separate-const-offset-from-gep;spill-fusing;ssc;tail-calls;type-promotion;vp;whole-program-visibility
328,RANDOM_CONFIG_0328,6,25,DataflowConstProp;EnumSizeOpt;InstSimplify-after-simplifycfg;MatchBranchSimplification;ScalarReplacementOfAggregates;UnreachableEnumBranching,cgp;cgp-ext-ld-promotion;cgp-gc-opts;cgp-store-extract;early-ifcvt;global-outlining;ifcvt-forked-diamond;ifcvt-simple-false;ifcvt-triangle-false;last-run-tracking;loop-level-heuristics;machine-cse;memop-opt;nounwind-inference;partial-inlining;peephole;phi-elim-edge-splitting;postra-machine-licm;preinline;promote-alloca-to-vector;tail-duplicate;thinlto-funcattrs;type-promotion;vp;whole-program-visibility
329,RANDOM_CONFIG_0329,8,30,DataflowConstProp;DeadStoreElimination-final;DeadStoreElimination-initial;GVN;InstSimplify-after-simplifycfg;MatchBranchSimplification;ReferencePropagation;UnreachableEnumBranching,advanced-peeling;auto-upgrade-debug-info;bitcode-version-upgrade;branch-fold;cgp-branch-opts;cgp-delete-phis;constant-hoisting;copyprop;demotion;dfa-sched;early-taildup;i2p-p2i-opt;ifcvt-simple;ifcvt-simple-false;lftr;loop-idiom-vectorize-bytecmp;lsr;machine-cse;machine-sink;mr-partial-inlining;nounwind-inference;peephole;phi-elim-edge-splitting;postra-machine-licm;select-optimize;strictnode-mutation;tail-duplicate;vector-combine;vp;whole-program-visibility
330,RANDOM_CONFIG_0330,7,20,DataflowConstProp;DeadStoreElimination-initial;DestinationPropagation;EnumSizeOpt;ImpossiblePredicates;InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates,advanced-peeling;cfi-fixup;cgp-ext-ld-promotion;cgp-store-extract;chr;cleanups;demotion;dfa-sched;expand-reductions;ifcvt-diamond;ifcvt-simple-false;loop-level-heuristics;machine-licm;memop-opt;nofree-inference;partial-libcall-inlining;preheader-prot;preinline;select-optimize;vector-combine
331,RANDOM_CONFIG_0331,6,19,DeadStoreElimination-initial;ImpossiblePredicates;JumpThreading;MatchBranchSimplification;ReferencePropagation;UnreachablePropagation,adv-copy-opt;auto-upgrade-debug-info;block-placement;cgp-gc-opts;cgp-select2branch;cgp-store-extract;constant-hoisting;early-ifcvt;early-taildup;expand-reductions;gep-const-evaluation;ifcvt-forked-diamond;ifcvt-triangle;last-run-tracking;peephole;postra-machine-licm;replace-with-vec-lib;tail-duplicate;thinlto-funcattrs
332,RANDOM_CONFIG_0332,7,26,DeadStoreElimination-initial;EarlyOtherwiseBranch;Inline;JumpThreading;ScalarReplacementOfAggregates;SingleUseConsts;UnreachableEnumBranching,advanced-peeling;cgp-delete-phis;cgp-select2branch;chr;cleanups;dfa-sched;early-ifcvt;icp;ifcvt-forked-diamond;ifcvt-triangle;layout-fsprofile-loader;lftr;machine-cse;machine-dce;mergeicmps;mr-partial-inlining;nofree-inference;nounwind-inference;ondemand-mds-loading;partial-inlining;partial-libcall-inlining;post-ra;postra-machine-licm;sample-loader-inlining;separate-const-offset-from-gep;thinlto-funcattrs
333,RANDOM_CONFIG_0333,6,26,GVN;ImpossiblePredicates;Inline;InstSimplify-before-inline;MatchBranchSimplification;ScalarReplacementOfAggregates,auto-upgrade-debug-info;cfi-fixup;cgp-branch-opts;cgp-gc-opts;cgp-select2branch;dfa-sched;early-ifcvt;early-taildup;ifcvt-forked-diamond;ifcvt-simple;ifcvt-triangle-false;ifcvt-triangle-rev;interleaved-load-combine;loop-level-heuristics;lsr;machine-dce;machine-licm;mergeicmps;mr-partial-inlining;non-allocatable-phys-copy-opt;postra-machine-licm;spill-fusing;ssc;tail-duplicate;thinlto-funcattrs;whole-program-visibility
334,RANDOM_CONFIG_0334,6,28,DataflowConstProp;ForceInline;Inline;InstSimplify-after-simplifycfg;JumpThreading;SingleUseConsts,adv-copy-opt;advanced-peeling;branch-fold;cgp;cgp-gc-opts;chr;cleanups;complex-addr-modes;copyprop;dfa-sched;early-ifcvt;early-taildup;expand-reductions;gep-const-evaluation;global-outlining;ifcvt-triangle-rev;interleaved-load-combine;layout-fsprofile-loader;lftr;machine-sink;memop-opt;mergeicmps;phi-elim-edge-splitting;postra-machine-sink;preheader-prot;separate-const-offset-from-gep;tail-calls;vp
335,RANDOM_CONFIG_0335,6,24,ForceInline;InstSimplify-after-simplifycfg;InstSimplify-before-inline;JumpThreading;MatchBranchSimplification;ReferencePropagation,adv-copy-opt;binop-extract-shuffle;block-placement;cgdata-for-merging;cgp-delete-phis;cgp-select2branch;complex-addr-modes;constant-hoisting;expand-reductions;global-outlining;ifcvt-diamond;ifcvt-triangle-false;licm-promotion;loop-level-heuristics;machine-sink;nofree-inference;ondemand-mds-loading;partial-inlining;post-ra;postra-machine-sink;preinline;sample-loader-inlining;vector-combine;vp
336,RANDOM_CONFIG_0336,11,25,DeadStoreElimination-final;DeadStoreElimination-initial;EarlyOtherwiseBranch;ImpossiblePredicates;Inline;InstSimplify-after-simplifycfg;JumpThreading;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates;SingleUseConsts,advanced-peeling;auto-upgrade-debug-info;branch-fold;cfi-fixup;cgp;complex-addr-modes;i2p-p2i-opt;ifcvt-triangle-false;last-run-tracking;layout-fsprofile-loader;machine-cse;machine-sink;memop-opt;ondemand-mds-loading;partial-libcall-inlining;peephole;phi-elim-edge-splitting;postra-machine-sink;preinline;replace-with-vec-lib;spill-fusing;ssc;strictnode-mutation;tail-duplicate;type-promotion
337,RANDOM_CONFIG_0337,8,19,DeadStoreElimination-final;DeadStoreElimination-initial;EarlyOtherwiseBranch;ForceInline;GVN;InstSimplify-before-inline;UnreachableEnumBranching;UnreachablePropagation,adv-copy-opt;binop-extract-shuffle;bitcode-version-upgrade;cgp-delete-phis;cgp-gc-opts;global-outlining;layout-fsprofile-loader;loop-level-heuristics;lsr;machine-cse;non-allocatable-phys-copy-opt;ondemand-mds-loading;phi-elim-edge-splitting;post-ra;replace-with-vec-lib;tail-calls;vector-combine;vp;whole-program-visibility
338,RANDOM_CONFIG_0338,7,22,CopyProp;EarlyOtherwiseBranch;ForceInline;InstSimplify-before-inline;JumpThreading;ScalarReplacementOfAggregates;UnreachableEnumBranching,auto-upgrade-debug-info;binop-extract-shuffle;branch-fold;cgp-delete-phis;cgp-store-extract;constant-hoisting;early-ifcvt;expand-reductions;global-outlining;i2p-p2i-opt;icp;interleaved-load-combine;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;memop-opt;mergeicmps;nofree-inference;partial-libcall-inlining;postra-machine-sink;ra-fsprofile-loader;replace-with-vec-lib;type-promotion
339,RANDOM_CONFIG_0339,7,21,CopyProp;DestinationPropagation;EnumSizeOpt;ImpossiblePredicates;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification,2addr-hack;block-placement;cgp;cgp-branch-opts;cgp-select2branch;cleanups;early-taildup;global-outlining;icp;ifcvt-diamond;ifcvt-simple;ifcvt-triangle-rev;interleaved-load-combine;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;mergeicmps;nofree-inference;postra-machine-sink;select-optimize;vector-combine;whole-program-visibility
340,RANDOM_CONFIG_0340,6,31,CopyProp;EnumSizeOpt;ImpossiblePredicates;Inline;ReferencePropagation;SingleUseConsts,2addr-hack;block-placement;branch-fold;cgp-branch-opts;chr;cleanups;early-ifcvt;expand-reductions;global-outlining;i2p-p2i-opt;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle-rev;last-run-tracking;layout-fsprofile-loader;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-cse;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;partial-inlining;peephole;post-ra;postra-machine-sink;ra-fsprofile-loader;separate-const-offset-from-gep;tail-calls;tail-duplicate;whole-program-visibility
341,RANDOM_CONFIG_0341,9,24,CopyProp;DataflowConstProp;DeadStoreElimination-final;DeadStoreElimination-initial;EnumSizeOpt;ImpossiblePredicates;InstSimplify-after-simplifycfg;ScalarReplacementOfAggregates;UnreachablePropagation,demotion;i2p-p2i-opt;icp;ifcvt-forked-diamond;last-run-tracking;licm-promotion;loop-idiom-vectorize-all;machine-licm;nofree-inference;nounwind-inference;peephole;phi-elim-edge-splitting;post-ra;postra-machine-sink;preinline;ra-fsprofile-loader;sample-loader-inlining;select-optimize;ssc;strictnode-mutation;tail-calls;tail-duplicate;type-promotion;vector-combine
342,RANDOM_CONFIG_0342,9,29,CopyProp;DestinationPropagation;EnumSizeOpt;ImpossiblePredicates;Inline;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates;UnreachablePropagation,cfi-fixup;cgp-branch-opts;cgp-ext-ld-promotion;cgp-select2branch;chr;constant-hoisting;early-ifcvt;i2p-p2i-opt;ifcvt-forked-diamond;ifcvt-simple;ifcvt-simple-false;ifcvt-triangle;layout-fsprofile-loader;loop-level-heuristics;machine-dce;memop-opt;nofree-inference;non-allocatable-phys-copy-opt;ondemand-mds-loading;partial-libcall-inlining;peephole;preheader-prot;preinline;ra-fsprofile-loader;select-optimize;thinlto-funcattrs;vector-combine;vp;whole-program-visibility
343,RANDOM_CONFIG_0343,4,34,DestinationPropagation;EnumSizeOpt;ReferencePropagation;ScalarReplacementOfAggregates,adv-copy-opt;advanced-peeling;binop-extract-shuffle;branch-fold;cgp-ext-ld-promotion;cgp-select2branch;chr;complex-addr-modes;demotion;dfa-sched;early-ifcvt;gep-const-evaluation;ifcvt-triangle;lftr;loop-idiom-vectorize-all;machine-dce;machine-licm;machine-sink;memop-opt;nofree-inference;ondemand-mds-loading;partial-inlining;partial-libcall-inlining;phi-elim-edge-splitting;postra-machine-licm;postra-machine-sink;preheader-prot;promote-alloca-to-vector;ra-fsprofile-loader;separate-const-offset-from-gep;ssc;tail-calls;thinlto-funcattrs;vp
344,RANDOM_CONFIG_0344,6,24,EarlyOtherwiseBranch;EnumSizeOpt;ImpossiblePredicates;JumpThreading;ScalarReplacementOfAggregates;UnreachablePropagation,2addr-hack;auto-upgrade-debug-info;binop-extract-shuffle;bitcode-version-upgrade;cgp-delete-phis;cgp-gc-opts;cgp-store-extract;chr;copyprop;dfa-sched;gep-const-evaluation;ifcvt-triangle;ifcvt-triangle-false;interleaved-load-combine;lsr;machine-sink;ondemand-mds-loading;partial-inlining;peephole;phi-elim-edge-splitting;preheader-prot;sample-loader-inlining;tail-duplicate;vector-combine
345,RANDOM_CONFIG_0345,2,25,JumpThreading;UnreachablePropagation,2addr-hack;adv-copy-opt;advanced-peeling;bitcode-version-upgrade;cgp-select2branch;cgp-store-extract;chr;cleanups;complex-addr-modes;constant-hoisting;demotion;i2p-p2i-opt;ifcvt-diamond;ifcvt-triangle;ifcvt-triangle-false;loop-level-heuristics;ondemand-mds-loading;partial-libcall-inlining;peephole;post-ra;postra-machine-sink;select-optimize;separate-const-offset-from-gep;vector-combine;whole-program-visibility
346,RANDOM_CONFIG_0346,5,24,DestinationPropagation;ImpossiblePredicates;InstSimplify-after-simplifycfg;MatchBranchSimplification;ReferencePropagation,2addr-hack;advanced-peeling;cfi-fixup;cgdata-for-merging;constant-hoisting;early-taildup;gep-const-evaluation;i2p-p2i-opt;ifcvt-triangle;last-run-tracking;layout-fsprofile-loader;lftr;loop-idiom-vectorize-bytecmp;lsr;ondemand-mds-loading;partial-inlining;postra-machine-licm;postra-machine-sink;preheader-prot;ra-fsprofile-loader;replace-with-vec-lib;spill-fusing;strictnode-mutation;thinlto-funcattrs
347,RANDOM_CONFIG_0347,8,27,DeadStoreElimination-initial;DestinationPropagation;EarlyOtherwiseBranch;EnumSizeOpt;InstSimplify-before-inline;JumpThreading;MatchBranchSimplification;ScalarReplacementOfAggregates,binop-extract-shuffle;branch-fold;cgdata-for-merging;cgp-select2branch;copyprop;demotion;dfa-sched;expand-reductions;i2p-p2i-opt;icp;ifcvt-diamond;ifcvt-simple-false;interleaved-load-combine;loop-idiom-vectorize-bytecmp;loop-level-heuristics;machine-dce;machine-sink;non-allocatable-phys-copy-opt;ondemand-mds-loading;post-ra;promote-alloca-to-vector;replace-with-vec-lib;select-optimize;spill-fusing;tail-duplicate;vector-combine;whole-program-visibility
348,RANDOM_CONFIG_0348,7,26,DeadStoreElimination-initial;DestinationPropagation;ForceInline;Inline;InstSimplify-before-inline;JumpThreading;UnreachablePropagation,bitcode-version-upgrade;cfi-fixup;cgdata-for-merging;cgp-delete-phis;copyprop;demotion;expand-reductions;ifcvt-triangle;interleaved-load-combine;last-run-tracking;layout-fsprofile-loader;loop-idiom-vectorize-bytecmp;machine-cse;machine-dce;mr-partial-inlining;nofree-inference;partial-inlining;partial-libcall-inlining;peephole;post-ra;postra-machine-licm;postra-machine-sink;preheader-prot;ra-fsprofile-loader;select-optimize;strictnode-mutation
349,RANDOM_CONFIG_0349,6,23,DataflowConstProp;EarlyOtherwiseBranch;EnumSizeOpt;GVN;Inline;UnreachablePropagation,binop-extract-shuffle;block-placement;branch-fold;cfi-fixup;cgdata-for-merging;cgp;cgp-ext-ld-promotion;cgp-select2branch;cgp-store-extract;chr;dfa-sched;expand-reductions;icp;ifcvt-simple-false;machine-cse;machine-sink;nofree-inference;nounwind-inference;ondemand-mds-loading;phi-elim-edge-splitting;post-ra;preinline;spill-fusing
350,RANDOM_CONFIG_0350,5,22,DeadStoreElimination-final;EnumSizeOpt;GVN;InstSimplify-after-simplifycfg;UnreachableEnumBranching,advanced-peeling;auto-upgrade-debug-info;cgdata-for-merging;cgp-branch-opts;cgp-gc-opts;cgp-select2branch;cgp-store-extract;constant-hoisting;dfa-sched;early-ifcvt;icp;ifcvt-forked-diamond;ifcvt-simple-false;lftr;licm-promotion;mr-partial-inlining;nounwind-inference;postra-machine-sink;separate-const-offset-from-gep;spill-fusing;ssc;tail-duplicate
